provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Maluku;Kencur;2018;15667,00;30.254;13600;15.667;7.834
Maluku;Kencur;2019;18094,00;33.955;13800;18.094;9.047
Maluku Utara;Kencur;2015;1620,00;2.811;11300;1.620;810
Maluku Utara;Kencur;2016;4806,00;9.380;11300;4.806;2.403
Maluku Utara;Kencur;2017;35796,00;136.404;14900;35.796;17.898
Maluku Utara;Kencur;2018;38838,00;110.248;13000;38.838;19.419
Maluku Utara;Kencur;2019;71787,00;238.089;13100;71.787;35.894
Nusa Tenggara Barat;Kencur;2015;10835,00;34.003;14100;10.835;5.418
Nusa Tenggara Barat;Kencur;2016;13285,00;34.443;14000;13.285;6.643
Nusa Tenggara Barat;Kencur;2017;11719,00;90.949;12300;11.719;5.860
Nusa Tenggara Barat;Kencur;2018;35451,00;142.328;14300;35.451;17.726
Nusa Tenggara Barat;Kencur;2019;8393,00;30.076;14200;8.393;4.197
Nusa Tenggara Timur;Kencur;2015;63522,00;93.646;14400;63.522;31.761
Nusa Tenggara Timur;Kencur;2016;139309,00;806.880;12200;139.309;69.655
Nusa Tenggara Timur;Kencur;2017;252936,00;184.793;11200;252.936;126.468
Nusa Tenggara Timur;Kencur;2018;83989,00;111.183;10800;83.989;41.995
Nusa Tenggara Timur;Kencur;2019;432016,00;488.075;11400;432.016;216.008
Papua;Kencur;2015;3296,00;13.925;11700;3.296;1.648
Papua;Kencur;2016;9469,00;23.151;12500;9.469;4.735
Papua;Kencur;2017;2875,00;7.401;13400;2.875;1.438
Papua;Kencur;2018;7804,00;11.867;10800;7.804;3.902
Papua;Kencur;2019;6584,00;4.657;11100;6.584;3.292
Papua Barat;Kencur;2015;7550,00;5.258;13400;7.550;3.775
Papua Barat;Kencur;2016;1040,00;2.776;14000;1.040;520
Papua Barat;Kencur;2017;845,00;804;12600;845;423
Papua Barat;Kencur;2018;234,00;251;13800;234;117
Papua Barat;Kencur;2019;1991,00;4.587;14800;1.991;996
Riau;Kencur;2015;116572,00;357.822;11300;116.572;58.286
Riau;Kencur;2016;161877,00;495.862;13700;161.877;80.939
Riau;Kencur;2017;110165,00;342.184;11900;110.165;55.083
Riau;Kencur;2018;157165,00;427.122;11200;157.165;78.583
Riau;Kencur;2019;197882,00;598.622;12700;197.882;98.941
Sulawesi Barat;Kencur;2015;78464,00;132.364;15400;78.464;39.232
Sulawesi Barat;Kencur;2016;15674,00;60.312;12100;15.674;7.837
Sulawesi Barat;Kencur;2017;5903,00;112.279;11000;5.903;2.952
Sulawesi Barat;Kencur;2018;18602,00;112.796;13900;18.602;9.301
Sulawesi Barat;Kencur;2019;17417,00;62.675;13600;17.417;8.709
Sulawesi Selatan;Kencur;2015;42298,00;90.598;15400;42.298;21.149
Sulawesi Selatan;Kencur;2016;15156,00;31.623;10600;15.156;7.578
Sulawesi Selatan;Kencur;2017;183706,00;559.857;10600;183.706;91.853
Sulawesi Selatan;Kencur;2018;40876,00;150.439;12500;40.876;20.438
Sulawesi Selatan;Kencur;2019;51310,00;110.394;14700;51.310;25.655
Sulawesi Tengah;Kencur;2015;70808,00;138.803;14700;70.808;35.404
Sulawesi Tengah;Kencur;2016;44157,00;155.516;14700;44.157;22.079
Sulawesi Tengah;Kencur;2017;53031,00;165.169;14500;53.031;26.516
Sulawesi Tengah;Kencur;2018;40461,00;154.226;13900;40.461;20.231
Sulawesi Tengah;Kencur;2019;32940,00;96.173;15100;32.940;16.470
Sulawesi Tenggara;Kencur;2015;20370,00;26.020;10800;20.370;10.185
Sulawesi Tenggara;Kencur;2016;29734,00;41.318;13500;29.734;14.867
Sulawesi Tenggara;Kencur;2017;18946,00;34.784;14400;18.946;9.473
Sulawesi Tenggara;Kencur;2018;36844,00;80.213;13000;36.844;18.422
Sulawesi Tenggara;Kencur;2019;59622,00;79.790;12900;59.622;29.811
Sulawesi Utara;Kencur;2015;3559,00;51.267;10800;3.559;1.780
Sulawesi Utara;Kencur;2016;8721,00;46.681;13700;8.721;4.361
Sulawesi Utara;Kencur;2017;8182,00;19.555;12600;8.182;4.091
Sulawesi Utara;Kencur;2018;8167,00;31.062;12300;8.167;4.084
Sulawesi Utara;Kencur;2019;2814,00;6.391;10500;2.814;1.407
Sumatera Barat;Kencur;2015;212585,00;1.834.173;11300;212.585;106.293
Sumatera Barat;Kencur;2016;180501,00;1.077.320;10600;180.501;90.251
Sumatera Barat;Kencur;2017;24960,00;662.270;14700;24.960;12.480
Sumatera Barat;Kencur;2018;185722,00;189.025;11300;185.722;92.861
