provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Maluku;Lengkuas;2017;38072,00;139.139; IDR14.100 ;38.072;19.036
Maluku;Lengkuas;2018;70683,00;157.893; IDR13.200 ;70.683;35.342
Maluku;Lengkuas;2019;66595,00;160.521; IDR13.600 ;66.595;33.298
Maluku Utara;Lengkuas;2015;7096,00;13.033; IDR14.600 ;7.096;3.548
Maluku Utara;Lengkuas;2016;12465,00;26.227; IDR12.600 ;12.465;6.233
Maluku Utara;Lengkuas;2017;13479,00;24.540; IDR12.600 ;13.479;6.740
Maluku Utara;Lengkuas;2018;29184,00;187.379; IDR13.000 ;29.184;14.592
Maluku Utara;Lengkuas;2019;60859,00;319.293; IDR14.800 ;60.859;30.430
Nusa Tenggara Barat;Lengkuas;2015;42805,00;281.193; IDR11.100 ;42.805;21.403
Nusa Tenggara Barat;Lengkuas;2016;39299,00;303.440; IDR11.600 ;39.299;19.650
Nusa Tenggara Barat;Lengkuas;2017;53110,00;638.549; IDR13.900 ;53.110;26.555
Nusa Tenggara Barat;Lengkuas;2018;112495,00;568.985; IDR14.800 ;112.495;56.248
Nusa Tenggara Barat;Lengkuas;2019;105507,00;684.613; IDR14.900 ;105.507;52.754
Nusa Tenggara Timur;Lengkuas;2015;220885,00;681.290; IDR14.700 ;220.885;110.443
Nusa Tenggara Timur;Lengkuas;2016;126689,00;760.559; IDR12.200 ;126.689;63.345
Nusa Tenggara Timur;Lengkuas;2017;188447,00;671.200; IDR12.200 ;188.447;94.224
Nusa Tenggara Timur;Lengkuas;2018;162112,00;529.590; IDR12.800 ;162.112;81.056
Nusa Tenggara Timur;Lengkuas;2019;441297,00;2.933.639; IDR12.600 ;441.297;220.649
Papua;Lengkuas;2015;6046,00;28.273; IDR11.600 ;6.046;3.023
Papua;Lengkuas;2016;12748,00;46.719; IDR12.800 ;12.748;6.374
Papua;Lengkuas;2017;3836,00;13.017; IDR12.500 ;3.836;1.918
Papua;Lengkuas;2018;9075,00;20.890; IDR10.500 ;9.075;4.538
Papua;Lengkuas;2019;8907,00;9.494; IDR12.300 ;8.907;4.454
Papua Barat;Lengkuas;2015;8597,00;14.697; IDR14.100 ;8.597;4.299
Papua Barat;Lengkuas;2016;7435,00;41.453; IDR13.900 ;7.435;3.718
Papua Barat;Lengkuas;2017;3442,00;4.239; IDR14.300 ;3.442;1.721
Papua Barat;Lengkuas;2018;1545,00;1.639; IDR12.000 ;1.545;773
Papua Barat;Lengkuas;2019;5134,00;11.671; IDR10.700 ;5.134;2.567
Riau;Lengkuas;2015;180652,00;833.373; IDR12.900 ;180.652;90.326
Riau;Lengkuas;2016;167760,00;899.977; IDR14.100 ;167.760;83.880
Riau;Lengkuas;2017;196063,00;1.045.476; IDR12.300 ;196.063;98.032
Riau;Lengkuas;2018;189156,00;945.209; IDR11.500 ;189.156;94.578
Riau;Lengkuas;2019;295485,00;1.147.484; IDR13.400 ;295.485;147.743
Sulawesi Barat;Lengkuas;2015;18624,00;243.790; IDR14.000 ;18.624;9.312
Sulawesi Barat;Lengkuas;2016;230441,00;1.020.519; IDR11.900 ;230.441;115.221
Sulawesi Barat;Lengkuas;2017;9664,00;1.019.105; IDR15.000 ;9.664;4.832
Sulawesi Barat;Lengkuas;2018;125360,00;1.078.659; IDR14.000 ;125.360;62.680
Sulawesi Barat;Lengkuas;2019;61401,00;499.000; IDR12.100 ;61.401;30.701
Sulawesi Selatan;Lengkuas;2015;387059,00;1.799.904; IDR14.900 ;387.059;193.530
Sulawesi Selatan;Lengkuas;2016;388246,00;1.595.703; IDR12.700 ;388.246;194.123
Sulawesi Selatan;Lengkuas;2017;283929,00;1.053.949; IDR13.200 ;283.929;141.965
Sulawesi Selatan;Lengkuas;2018;836440,00;2.958.365; IDR14.300 ;836.440;418.220
Sulawesi Selatan;Lengkuas;2019;647594,00;3.133.000; IDR12.200 ;647.594;323.797
Sulawesi Tengah;Lengkuas;2015;85945,00;286.433; IDR12.200 ;85.945;42.973
Sulawesi Tengah;Lengkuas;2016;49617,00;305.077; IDR11.400 ;49.617;24.809
Sulawesi Tengah;Lengkuas;2017;70522,00;491.029; IDR12.300 ;70.522;35.261
Sulawesi Tengah;Lengkuas;2018;109910,00;650.823; IDR10.700 ;109.910;54.955
Sulawesi Tengah;Lengkuas;2019;60879,00;272.802; IDR13.500 ;60.879;30.440
Sulawesi Tenggara;Lengkuas;2015;65231,00;130.840; IDR15.100 ;65.231;32.616
Sulawesi Tenggara;Lengkuas;2016;35342,00;109.696; IDR13.100 ;35.342;17.671
Sulawesi Tenggara;Lengkuas;2017;38083,00;175.977; IDR14.900 ;38.083;19.042
Sulawesi Tenggara;Lengkuas;2018;79042,00;167.689; IDR15.400 ;79.042;39.521
Sulawesi Tenggara;Lengkuas;2019;180253,00;378.398; IDR14.200 ;180.253;90.127
Sulawesi Utara;Lengkuas;2015;62545,00;320.128; IDR13.500 ;62.545;31.273
Sulawesi Utara;Lengkuas;2016;74925,00;411.539; IDR15.400 ;74.925;37.463
Sulawesi Utara;Lengkuas;2017;73855,00;281.623; IDR10.900 ;73.855;36.928
Sulawesi Utara;Lengkuas;2018;88010,00;397.365; IDR13.700 ;88.010;44.005
Sulawesi Utara;Lengkuas;2019;53175,00;219.398; IDR11.200 ;53.175;26.588
Sumatera Barat;Lengkuas;2015;394965,00;2.225.229; IDR11.400 ;394.965;197.483
Sumatera Barat;Lengkuas;2016;486391,00;2.701.051; IDR14.800 ;486.391;243.196
Sumatera Barat;Lengkuas;2017;346937,00;2.201.659; IDR12.700 ;346.937;173.469
Sumatera Barat;Lengkuas;2018;447805,00;1.828.795; IDR11.800 ;447.805;223.903
Sumatera Barat;Lengkuas;2019;486385,00;2.984.947; IDR15.400 ;486.385;243.193
Sumatera Selatan;Lengkuas;2015;447906,00;1.310.376; IDR11.400 ;447.906;223.953
Sumatera Selatan;Lengkuas;2016;376705,00;1.384.766; IDR11.600 ;376.705;188.353
Sumatera Selatan;Lengkuas;2017;409544,00;1.132.022; IDR14.000 ;409.544;204.772
Sumatera Selatan;Lengkuas;2018;510675,00;1.128.404; IDR12.100 ;510.675;255.338
Sumatera Selatan;Lengkuas;2019;654778,00;1.532.785; IDR12.400 ;654.778;327.389
Sumatera Utara;Lengkuas;2015;267892,00;956.970; IDR13.100 ;267.892;133.946
Sumatera Utara;Lengkuas;2016;218112,00;729.991; IDR12.400 ;218.112;109.056
Sumatera Utara;Lengkuas;2017;395788,00;1.250.007; IDR12.100 ;395.788;197.894
Sumatera Utara;Lengkuas;2018;226505,00;432.713; IDR11.800 ;226.505;113.253
Sumatera Utara;Lengkuas;2019;334039,00;750.202; IDR13.000 ;334.039;167.020
