,Xt
176,0.81651376146789
177,0.9480122324159023
178,0.8990825688073395
179,0.9938837920489297
180,0.9694189602446485
181,0.8562691131498472
182,0.8990825688073395
183,0.8990825688073395
184,0.9235474006116209
185,0.9082568807339451
186,0.9541284403669726
187,1.0
188,0.981651376146789
189,0.9541284403669726
190,0.9541284403669726
191,0.9602446483180428
192,0.9327217125382264
193,0.8256880733944955
194,0.8623853211009175
195,0.8776758409785933
196,0.8562691131498472
197,0.8103975535168196
198,0.7828746177370032
199,0.7951070336391438
200,0.743119266055046
201,0.706422018348624
202,0.7094801223241591
203,0.6513761467889909
204,0.6605504587155964
205,0.7370030581039756
206,0.8409785932721713
207,0.8776758409785933
208,0.7951070336391438
209,0.7155963302752294
210,0.779816513761468
211,0.7370030581039756
212,0.7889908256880734
213,0.7951070336391438
214,0.8990825688073395
215,0.871559633027523
216,0.871559633027523
217,0.9021406727828747
218,0.8990825688073395
219,0.8868501529051989
220,0.724770642201835
221,0.706422018348624
222,0.7278287461773701
223,0.6330275229357799
224,0.7278287461773701
225,0.7186544342507646
226,0.8623853211009175
227,0.8042813455657493
228,0.7859327217125383
229,0.798165137614679
230,0.7675840978593272
231,0.6697247706422019
232,0.6697247706422019
233,0.7370030581039756
234,0.7278287461773701
235,0.706422018348624
236,0.6850152905198778
237,0.6727828746177371
238,0.6850152905198778
239,0.706422018348624
240,0.706422018348624
241,0.7003058103975536
242,0.7033639143730888
243,0.7033639143730888
244,0.6880733944954129
245,0.6574923547400612
246,0.7003058103975536
247,0.7370030581039756
248,0.7920489296636086
249,0.761467889908257
250,0.6911314984709481
251,0.6666666666666667
252,0.7186544342507646
253,0.7186544342507646
254,0.7522935779816514
255,0.7522935779816514
256,0.7217125382262998
257,0.6880733944954129
258,0.7186544342507646
259,0.798165137614679
260,0.8287461773700306
261,0.8379204892966362
